id,prediction
1,6473082.342050463
2,5622371.822521413
3,3347211.1839806787
4,5725229.424572271
5,45254875.34435514
6,5867411.025571171
7,4969614.813272427
8,3623581.4513208037
9,6100480.125859155
10,8707649.36497294
11,5459897.8540228885
12,18427594.877404764
13,5746988.188492928
14,7315819.480179722
15,5797909.130316962
16,7066508.681937772
17,15089005.35738966
18,3619788.4888842767
19,9321873.837232646
20,4853888.62140431
21,3721421.084819163
22,16884611.591122758
23,7453280.5601787185
24,21277869.071143903
25,5800734.373146163
26,5988304.09069392
27,14986608.28242661
28,6131527.888881362
29,5446622.573185532
30,6290782.473223987
31,11073480.90513116
32,7435762.109954983
33,6776832.1478585135
34,2872648.66580444
35,41649615.43691167
36,6204753.388291576
37,4279578.973039062
38,6478433.25671601
39,12650949.780228265
40,38388061.19007175
41,6630796.571228459
42,7509864.084906501
43,5372445.214126375
44,6252096.084079593
45,5367116.007405743
46,5963985.91132728
47,8035418.752781319
48,4926324.59931656
49,8347689.053585033
50,4937329.635323837
51,5533746.013128509
52,4897342.27746422
53,5551523.822821633
54,6149240.161448175
55,5908873.975956288
56,6152165.330688807
57,7468137.327877884
58,6233290.836803996
59,7877989.296166232
60,5911382.787322217
61,13467513.902711654
62,6310664.173893664
63,8292127.337826185
64,5537117.465680694
65,3991715.9135964457
66,5835575.694867877
67,13294378.144905016
68,4588275.3340459755
69,2673858.5857623764
70,6541826.973427279
71,5683700.772388877
72,6150185.892899973
73,6123207.112047091
74,6524263.46370502
75,9462879.548118373
76,3910636.0082810437
77,7886299.808950816
78,4217004.6010636175
79,8199335.740242343
80,5966176.354562199
81,6232723.742273148
82,5621863.312991038
83,1935545.7451831386
84,12685614.82104896
85,5947648.7066962775
86,4493393.229477147
87,4447677.928437903
88,7741642.082108069
89,7681092.180664477
90,6240171.718033557
91,6167708.389130384
92,5055458.732519922
93,5993743.3245856315
94,5243641.97547998
95,5180440.405516694
96,6101059.034653342
97,4307497.555938044
98,6208776.987579865
99,6109755.373754741
100,9109690.602226306
101,5720585.330954386
102,8598844.312767107
103,4278899.461239644
104,5132506.259957707
105,5728004.759766235
106,4438216.553530583
107,6624072.037075025
108,15489884.046207152
109,5363370.0208218545
110,4909036.862742374
111,5722817.267474098
112,5980559.074802909
113,5342929.118849689
114,12263130.720792165
115,7098175.268554294
116,9804062.01261464
117,9990453.132024046
118,5777192.120017287
119,2962577.9298358634
120,5586296.858721727
121,5072928.015484843
122,4543731.651783182
123,10919138.04771163
124,6561695.555236304
125,4937642.07602991
126,6159721.358285921
127,5358938.615946949
128,5084449.927379838
129,3790599.609923539
130,10294238.870983249
131,6179457.685659545
132,4996741.147736583
133,7881516.97324234
134,4447605.52800759
135,5376529.568420675
136,4726815.773301337
137,31822531.263468955
138,5446023.281392066
139,4044957.0855837446
140,8515367.87008371
141,3248315.6655431283
142,4853359.381713447
143,6646518.927314304
144,6368524.382337567
